ma_nganh,ma_nhom,nganh_hoc,to_hop_thi,nguon,is_that,sample_weight,likert_nang_dong,likert_huong_noi,likert_sang_tao,likert_logic,likert_to_mo,likert_thi_nghiem,likert_moi_truong,likert_dinh_duong,likert_tranh_luan,likert_thiet_ke,ips_likert_nang_dong,ips_likert_huong_noi,ips_likert_sang_tao,ips_likert_logic,ips_likert_to_mo,ips_likert_thi_nghiem,ips_likert_moi_truong,ips_likert_dinh_duong,ips_likert_tranh_luan,ips_likert_thiet_ke,likert_tb,likert_dolech,diem_Van,diem_Dia,diem_Anh,diem_Toan,diem_Gdktpl,diem_Tin,diem_Su,diem_Ly,diem_Hoa,diem_Sinh,z_diem_Van,z_diem_Dia,z_diem_Anh,z_diem_Toan,z_diem_Gdktpl,z_diem_Tin,z_diem_Su,z_diem_Ly,z_diem_Hoa,z_diem_Sinh,diem_tb,diem_lech,z_tb,z_max,th_A00,th_A01,th_B00,th_B08,th_C00,th_C01,th_C02,th_C03,th_D01,th_D07,th_D09,th_D14,th_D15,th_X01,th_X26,gioi_tinh_nam,muc_tieu
7480201,0,Công nghệ thông tin,A01,khaosat,1,1.0,2.0,4.0,5.0,3.0,5.0,3.0,3.0,4.0,3.0,3.0,-1.5,0.5,1.5,-0.5,1.5,-0.5,-0.5,0.5,-0.5,-0.5,3.5,0.9219544457292888,,,7.8,7.8,,,,7.3,,,,,0.4196998294931383,0.512847202467739,,,,0.10747442308696284,,,7.633333333333333,0.5,0.34667381834928007,0.512847202467739,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
7480201,0,Công nghệ thông tin,A01,khaosat,1,1.0,2.0,4.0,3.0,5.0,4.0,2.0,2.0,2.0,3.0,2.0,-0.8999999999999999,1.1,0.10000000000000009,2.1,1.1,-0.8999999999999999,-0.8999999999999999,-0.8999999999999999,0.10000000000000009,-0.8999999999999999,2.9,1.044030650891055,,,8.6,7.5,,,,8.5,,,,,1.182916109753347,0.15648364447887408,,,,1.4149304891644747,,,8.200000000000001,1.0999999999999996,0.9181100811322319,1.4149304891644747,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
7810103,2,Quản trị dịch vụ du lịch và lữ hành,D01,khaosat,1,1.0,3.0,2.0,1.0,2.0,1.0,3.0,3.0,1.0,2.0,2.0,1.0,0.0,-1.0,0.0,-1.0,1.0,1.0,-1.0,0.0,0.0,2.0,0.7745966692414834,8.25,,6.5,8.0,,,,,,,1.1783217237024903,,-0.8205266259297009,0.7504229077936492,,,,,,,7.583333333333333,1.75,0.3694060018554795,1.1783217237024903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
7340201,1,Tài chính ngân hàng,A01,khaosat,1,1.0,3.0,5.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,-0.3999999999999999,1.6,-0.3999999999999999,-0.3999999999999999,1.6,-0.3999999999999999,-0.3999999999999999,-0.3999999999999999,-0.3999999999999999,-0.3999999999999999,3.4,0.8000000000000002,,,8.2,8.0,,,,6.8,,,,,0.8013079696232421,0.7504229077936492,,,,-0.4372989377786671,,,7.666666666666667,1.3999999999999995,0.37147731321274136,0.8013079696232421,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0
7480201,0,Công nghệ thông tin,A00,khaosat,1,1.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,1.1,0.10000000000000009,0.10000000000000009,0.10000000000000009,0.10000000000000009,-0.8999999999999999,-0.8999999999999999,0.10000000000000009,0.10000000000000009,0.10000000000000009,2.9,0.5385164807134505,,,,7.6,,,,6.8,7.2,,,,,0.2752714971418287,,,,-0.4372989377786671,-0.22821185505926386,,7.199999999999999,0.7999999999999998,-0.1300797652320341,0.2752714971418287,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7340101,1,Quản trị kinh doanh,D01,khaosat,1,1.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,0.10000000000000009,1.1,0.10000000000000009,0.10000000000000009,0.10000000000000009,-0.8999999999999999,-0.8999999999999999,0.10000000000000009,0.10000000000000009,0.10000000000000009,2.9,0.5385164807134505,8.25,,5.6,7.6,,,,,,,1.1783217237024903,,-1.6791449412224362,0.2752714971418287,,,,,,,7.1499999999999995,2.6500000000000004,-0.07518390679270572,1.1783217237024903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7340115,1,Marketing,A00,khaosat,1,1.0,3.0,3.0,3.0,4.0,4.0,1.0,4.0,4.0,2.0,3.0,-0.10000000000000009,-0.10000000000000009,-0.10000000000000009,0.8999999999999999,0.8999999999999999,-2.1,0.8999999999999999,0.8999999999999999,-1.1,-0.10000000000000009,3.1,0.9433981132056604,,,,7.0,,,,8.0,8.0,,,,,-0.437455618835901,,,,0.8701571282988448,0.7345189716998993,,7.666666666666667,1.0,0.38907349372094774,0.8701571282988448,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7340201,1,Tài chính ngân hàng,D01,khaosat,1,1.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,0.20000000000000018,0.20000000000000018,0.20000000000000018,0.20000000000000018,0.20000000000000018,-1.7999999999999998,0.20000000000000018,0.20000000000000018,0.20000000000000018,0.20000000000000018,3.8,0.6,8.5,,6.0,7.5,,,,,,,1.4041675856576228,,-1.2975368010923314,0.15648364447887408,,,,,,,7.333333333333333,2.5,0.0877048096813885,1.4041675856576228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
7340201,1,Tài chính ngân hàng,A00,khaosat,1,1.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,0.20000000000000018,0.20000000000000018,0.20000000000000018,-0.7999999999999998,0.20000000000000018,-0.7999999999999998,0.20000000000000018,0.20000000000000018,0.20000000000000018,0.20000000000000018,3.8,0.39999999999999997,,,,8.0,,,,8.0,8.0,,,,,0.7504229077936492,,,,0.8701571282988448,0.7345189716998993,,8.0,0.0,0.7850330025974644,0.8701571282988448,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7340201,1,Tài chính ngân hàng,D01,khaosat,1,1.0,3.0,4.0,4.0,2.0,4.0,2.0,4.0,4.0,3.0,4.0,-0.3999999999999999,0.6000000000000001,0.6000000000000001,-1.4,0.6000000000000001,-1.4,0.6000000000000001,0.6000000000000001,-0.3999999999999999,0.6000000000000001,3.4,0.8,7.0,,7.8,7.6,,,,,,,0.04909241392682824,,0.4196998294931383,0.2752714971418287,,,,,,,7.466666666666666,0.7999999999999998,0.2480212468539317,0.4196998294931383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
